type,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Personal consumption expenditures (PCE),77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.6,120,144.2,161.9,174.9,178.3,192,208.3,219.3,232.7,239.6,258.3,271.1,286.3,295.6,317.1,331.2,341.5,362.6,382,410.6,443,479.9,506.7,556.9,603.6,646.7,699.9,768.2,849.6,930.2,1030.5,1147.7,1274,1422.3,1585.4,1750.7,1934,2071.3,2281.6,2492.3,2712.8,2886.3,3076.3,3330,3576.8,3809,3943.4,4197.6,4452,4721,4962.6,5244.6,5536.8,5877.2,6283.8,6767.2,7073.8,7348.9,7740.7,8232,8769.1,9277.2,9746.6,10050.1,9891.2,10260.3,10698.9,11047.4,11388.2,11874.5,12297.4,12726.8,13290.6,13934.4,14417.6,14206.2,16043,17511.7
Goods,43.8,38.2,31.7,24.1,23.8,28.5,31.6,36,38.4,36,37.9,40.6,47.4,51,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.7,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177,178.8,189,198.2,212.3,229.7,249.6,259,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.5,2108.4,2287.1,2453.2,2525.6,2598.8,2722.6,2902,3082.9,3239.7,3367,3363.2,3180,3317.8,3518.1,3637.7,3742.2,3886.6,3955.1,4033,4212.2,4414.2,4529.2,4713.1,5506.6,5997
    Durable goods,9.8,7.7,5.9,4,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74,84.8,90.5,90,102.4,116.4,130.5,130.2,142.2,168.6,192,213.3,226.3,226.4,243.9,253,295,342.2,380.4,421.4,442,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.8,1080.6,1128.6,1158.3,1188,1098.8,1012.1,1049,1093.5,1144.2,1191.8,1247.3,1315.8,1356.5,1415.9,1488.8,1522.7,1628.9,2006.4,2128.9
        Motor vehicles and parts,3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410,394.9,400.6,343.3,318.6,344.5,365.2,396.6,422.1,451.6,490.7,504.6,529.4,550,545.1,547,700.8,730.8
        Furnishings and durable household equipment,3.8,3,2.6,1.9,1.7,2,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,264.3,238.3,240.9,246.9,253.9,263.3,275.5,292.7,306,319.2,336,346.3,378.5,449.3,477.4
        Recreational goods and vehicles,1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1.2,1.2,1,1,1.2,2.5,3,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.5,284.8,306.4,326.3,339.2,328.1,297.5,298.6,305.4,311.8,322.3,331.8,339.5,354.5,375.7,405.2,428.8,507.3,606.8,655.5
        Other durable goods,1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4,4,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6,6.9,7.1,8,8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141,153.5,164.8,163,157.7,165,176.1,181.9,184,188.4,192.9,191.3,191.6,197.7,202.6,196.1,249.5,265.2
    Nondurable goods,33.9,30.5,25.8,20.2,20,23.9,26.1,29.2,31,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83,81.5,84.4,93,97.5,100.2,102.1,106.7,112,117.6,122,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291,1329.1,1431.5,1540.6,1584.1,1613.4,1704.8,1821.4,1954.3,2081.3,2179,2264.5,2167.9,2268.9,2424.6,2493.5,2550.4,2639.3,2639.3,2676.5,2796.3,2925.4,3006.5,3084.2,3500.2,3868.1
        Food and beverages purchased for off-premises consumption,16.3,14.8,11.9,9,9.5,11.7,13.3,15.1,16,15.1,15.2,15.9,18.2,21.6,24.3,26,28.2,34.9,40.2,41.8,40.4,41.4,46,48.4,49.3,50.6,52,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564,575.1,599.6,632.6,668.2,700.3,737.3,769.1,772.9,786.9,819.5,846.2,870.5,910.4,942,969.6,1010.4,1044.4,1082,1196.5,1287.7,1393.5
        Clothing and footwear,9,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.4,310.5,320,323.5,317.4,304,316.6,332.6,345.2,354.4,368.6,380.8,392.2,401.1,409.4,414,366.2,467.9,500.7
