type,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Personal consumption expenditures (PCE),8.787,8.415,7.514,6.627,6.391,6.681,6.846,6.909,7.16,6.997,6.929,6.988,7.423,8.347,9.115,9.638,10.024,10.722,11.809,12.477,12.379,12.527,13.38,13.654,13.834,13.95,14.005,14.284,14.718,15.066,15.29,15.541,15.702,15.886,16.077,16.309,16.544,16.962,17.389,18.069,18.883,19.766,20.605,21.308,22.455,24.793,26.86,28.333,30.176,32.276,35.143,38.928,42.415,44.771,46.676,48.439,50.128,51.219,52.802,54.865,57.261,59.775,61.774,63.42,65,66.356,67.754,69.203,70.407,70.967,72.001,73.822,75.302,76.291,77.894,79.827,82.127,84.44,86.607,89.17,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100,102.047,103.513,104.635,109.001,116.043
Goods,15.721,14.884,12.832,11.055,10.964,12.045,12.368,12.416,12.863,12.342,12.155,12.264,13.272,15.466,17.244,18.392,19.234,20.7,23.191,24.559,23.985,24.061,26.003,26.253,26.133,26.033,25.88,26.32,27.143,27.761,27.903,28.122,28.227,28.373,28.609,28.92,29.224,29.868,30.394,31.454,32.673,33.919,34.938,35.833,37.97,42.709,46.159,47.966,50.526,53.626,58.698,65.271,70.12,72.031,73.331,74.718,75.917,75.562,77.992,80.048,83.128,86.532,88.647,89.717,90.496,91.417,92.271,93.285,93.177,91.777,92.258,94.089,94.018,93.122,93.003,94.311,96.203,97.494,98.576,101.524,99.084,100.533,104.325,105.62,105.049,104.542,101.35,99.71,100,100.811,100.427,99.646,104.572,113.548
    Durable goods,35.785,33.69,30.082,26.505,25.861,27.414,27.259,27.416,28.545,28.524,28.179,28.463,30.569,35.786,39.035,43.881,46.415,48.332,52.568,55.258,55.636,55.918,59.666,60.037,59.566,58.261,58.035,59.435,61.621,62.741,63.738,63.497,63.657,63.931,64.175,64.465,63.936,63.796,64.821,66.898,68.784,70.268,72.694,73.495,74.584,79.48,86.593,91.329,95.419,100.76,107.438,116.762,124.57,129.429,132.052,134.005,135.423,136.912,140.852,143.175,145.784,147.232,149.39,150.422,151.903,154.876,156.006,154.431,151.059,146.79,142.835,140.293,137.545,134.074,129.173,126.647,125.332,123.187,120.564,118.304,116.081,113.946,113.023,111.595,109.551,106.771,104.617,102.337,100,98.633,97.679,96.782,102.112,108.621
        Motor vehicles and parts,11.367,10.951,10.215,9.586,8.987,9.412,9.273,9.317,9.551,9.93,9.702,9.717,10.563,13.533,14.252,15.308,15.556,19.471,21.395,23.05,23.857,23.923,25.147,26.182,25.688,24.798,25.086,26.226,27.879,28.933,30.368,29.801,29.969,30.457,30.697,30.948,30.694,30.487,30.903,31.967,32.611,33.595,35.22,35.308,35.469,37.653,41.374,44.537,47.14,50.407,54.208,58.225,62.73,65.703,67.749,69.685,71.299,73.266,76.618,77.821,80.121,80.379,82.64,84.199,87.516,91.578,95.207,97.116,97.485,96.426,96.718,97.075,97.456,96.946,94.209,93.455,94.89,94.941,94.419,92.691,92.553,96.365,99.362,100.712,101.66,101.809,101.965,101.309,100,100.016,100.835,102.529,114.242,127.626
        Furnishings and durable household equipment,30.653,29.476,26.178,22.592,22.657,24.486,24.641,24.809,26.468,25.992,25.797,26.047,27.998,32.37,37.011,42.518,46.133,46.305,49.563,51.65,50.426,51.309,56.545,55.978,56.075,55.81,55.396,55.853,56.792,56.674,56.71,57.21,57.403,57.333,57.362,57.425,57.055,57.528,58.822,61.132,63.315,64.693,65.863,66.799,68.374,73.946,81.297,84.795,87.922,92.371,98.133,106.106,113.947,119.82,122.612,124.098,125.459,126.78,128.784,130.62,131.009,132.335,133.089,134.666,135.38,137.471,137.256,137.645,137.442,137.327,135.541,134.56,132.255,129.522,125.876,124.322,124.347,123.708,122.702,121.875,121.4,116.212,114.44,114.459,112.254,108.395,105.738,102.902,100,99.028,99.758,100.7,105.889,115.601
        Recreational goods and vehicles,397.176,330.834,262.229,215.534,201.009,208.533,206.355,204.041,209.231,208.394,203.45,206.602,210.896,240.182,240.527,261.764,268.957,275.724,318.266,336.707,349.402,346.325,353.498,341.212,336.878,326.057,315.882,319.448,330.713,339.768,330.024,332.235,330.456,326.833,326.181,322.229,317.788,314.262,316.164,322.367,329.792,330.237,341.983,346.94,352.253,367.861,392.208,405.712,417.34,432.314,451.557,476.65,498.024,509.522,503.424,496.298,487.576,472.103,466.136,463.149,461.916,458.169,452.353,438.456,422.726,413.919,396.522,368.417,337.581,309.086,282.16,264.511,246.487,230.516,215.95,205.319,194.186,182.418,169.939,161.529,152.002,141.494,132.317,124.812,118.267,113.091,108.871,103.842,100,96.69,92.84,88.733,90.034,90.446
        Other durable goods,22.201,21.799,20.814,18.712,18.761,19.473,19.099,19.505,19.685,19.039,19.197,19.764,21.505,24.805,26.05,29.084,30.236,30.223,31.937,32.293,32.134,31.673,33.617,33.539,33.693,32.999,32.584,32.925,33.141,33.182,33.335,33.43,33.361,33.219,33.394,34.25,34.075,34.065,34.876,35.642,37.408,38.379,39.433,40.708,42.037,45.271,48.713,51.086,53.326,56.286,60.93,73.392,77.43,78.177,80.698,82.421,83.32,85.288,91.095,97.044,101.555,107.956,111.952,114.909,115.793,117.642,119.6,118.887,117.218,115.075,112.178,110.694,111.046,109.192,106.7,106.152,105.145,106.107,108.067,110.789,111.132,110.671,113.597,112.724,110.703,106.098,102.259,101.367,100,98.107,95.868,93.124,93.618,95.444
    Nondurable goods,10.341,9.805,8.382,7.187,7.15,7.908,8.173,8.202,8.487,8.069,7.942,8.01,8.687,10.112,11.315,11.973,12.499,13.542,15.29,16.227,15.698,15.737,17.086,17.269,17.209,17.25,17.138,17.383,17.893,18.329,18.356,18.575,18.652,18.754,18.941,19.194,19.54,20.165,20.533,21.273,22.194,23.192,23.846,24.611,26.595,30.617,32.984,34.058,36.009,38.311,42.44,47.647,51.326,52.491,53.392,54.502,55.522,54.813,56.677,58.479,61.38,64.898,66.793,67.764,68.314,68.679,69.396,70.968,71.709,71.182,72.951,76.084,76.893,76.898,78.488,81.206,84.319,86.946,89.505,94.506,92,94.791,100.417,102.831,102.895,103.409,99.735,98.405,100,101.935,101.853,101.137,105.826,116.245
        Food and beverages purchased for off-premises consumption,9.219,8.624,6.962,5.692,5.72,6.43,6.94,6.953,7.166,6.621,6.554,6.593,7.294,8.725,10.051,10.32,10.636,11.738,13.516,14.183,13.608,13.673,15.114,15.479,15.178,15.166,14.889,14.997,15.451,16.096,15.929,16.063,16.143,16.266,16.437,16.769,17.107,17.829,17.852,18.392,19.217,20.289,20.751,21.741,24.492,28.217,30.338,30.902,32.722,35.853,39.374,42.685,45.726,46.929,47.468,48.894,49.426,50.589,52.186,53.742,56.576,59.34,61.203,61.673,62.535,63.582,64.96,66.942,68.218,69.075,70.206,71.85,73.946,75.063,76.484,78.87,80.248,81.597,84.781,89.944,91.013,91.285,94.93,97.183,98.14,100.016,101.141,100.13,100,100.517,101.528,104.891,108.162,119.33
        Clothing and footwear,26.84,25.619,22.381,18.383,18.735,21.72,21.338,21.364,22.487,21.939,21.429,21.671,23.797,28.51,31.862,35.983,39.119,42.361,45.738,48.548,46.457,46.087,50.113,49.265,49.149,49.271,49.137,50.071,50.816,51.033,51.469,52.159,52.46,52.618,53.079,53.579,54.046,55.54,57.829,61.097,64.402,66.797,69.172,70.428,72.765,78.164,81.669,84.289,87.886,89.547,91.299,94.648,97.773,99.205,100.563,101.085,103.254,102.828,105.791,109.195,110.793,114.404,116.581,117.449,116.822,114.856,112.173,110.822,110.857,108.839,107.398,106.12,104.017,101.285,98.776,98.434,97.564,97.183,96.283,95.509,96.346,95.727,97.302,100.82,101.813,102.13,100.917,100.607,100,100.134,98.824,93.816,95.783,100.742
        Gasoline and other energy goods,6.099,5.9,5.244,5.119,5.009,5.283,5.238,5.378,5.486,5.388,5.202,5.208,5.449,5.771,5.973,6.1,6.091,6.331,7.115,8.1,8.219,8.311,8.542,8.697,9.029,9.176,9.273,9.563,10.003,9.892,10.031,10.209,10.221,10.273,10.299,10.203,10.551,10.802,11.154,11.358,11.706,11.871,12.064,12.208,13.481,18.748,20.065,21.025,22.526,23.563,31.739,44.134,49.78,47.467,45.633,45.16,45.258,35.531,36.844,37.119,40.409,46.274,45.499,45.153,44.71,44.82,45.42,48.514,48.513,42.299,45.782,59.188,57.148,53.482,62.505,73.441,89.95,101.576,110.004,129.615,94.565,111.495,140.252,144.984,141.11,136.079,99.997,88.641,100,113.506,109.591,93.09,123.959,163.952
        Other nondurable goods,9.281,8.953,8.529,8.057,7.654,7.847,7.838,7.8,8.076,7.945,7.869,8.013,8.261,9.029,9.639,10.198,10.546,11.033,12.553,13.251,12.962,13.019,13.867,13.92,14.127,14.165,14.312,14.556,15.023,15.386,15.636,15.879,15.918,15.97,16.191,16.432,16.66,16.992,17.409,18.075,18.744,19.619,20.37,20.877,21.446,23.557,26.262,27.621,29.221,30.811,32.825,35.823,38.86,41.867,44.751,46.409,48.205,50.125,52.143,54.477,57.487,60.396,63.613,66.008,67.121,67.591,68.788,70.09,70.825,72.16,74.986,76.627,78.402,79.833,80.051,81.003,82.238,83.99,85.193,87.236,91.129,92.789,94.194,95.611,95.734,96.779,97.838,98.964,100,100.49,100.935,101.877,102.77,107.623
Services,6.068,5.894,5.479,4.95,4.639,4.58,4.68,4.756,4.933,4.938,4.924,4.963,5.139,5.501,5.845,6.113,6.313,6.696,7.184,7.563,7.691,7.888,8.276,8.579,8.909,9.133,9.288,9.508,9.786,10.028,10.297,10.571,10.759,10.963,11.138,11.342,11.553,11.886,12.28,12.815,13.476,14.223,14.999,15.634,16.389,17.778,19.302,20.641,22.203,23.91,25.915,28.61,31.541,34.017,36.106,37.985,39.843,41.48,42.726,44.769,46.88,49.029,50.946,52.758,54.582,56.066,57.632,59.214,60.883,62.172,63.409,65.21,67.292,69.033,71.336,73.528,75.998,78.75,81.388,83.783,84.432,86.077,87.742,89.648,91.659,93.795,95.462,97.629,100,102.626,104.972,107.054,111.103,117.066
