Industry,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
            Wages and salaries,5691379,6056739,6396392,6534095,6249110,6372510,6626182,6928124,7113994,7476332,7859482,8091239,8474410,8899824,9324960,9464644,10312628,11116027
Domestic industries,5702993,6068318,6407285,6545949,6257281,6380110,6634020,6936133,7122593,7485778,7869599,8102227,8485016,8910107,9336820,9472251,10323383,11132078
    Private industries,4711673,5033793,5318741,5402098,5082058,5188937,5439169,5737824,5914587,6248877,6593843,6794198,7136814,7508233,7886169,7977912,8777120,9509607
"        Agriculture, forestry, fishing, and hunting",28715,30911,34004,34240,33670,33646,33356,38749,39684,41017,40798,43262,45257,44740,45893,48600,49570,51109
            Farms1,19022,18764,21258,21132,21349,20292,19323,23746,23768,24178,22678,23894,25220,23754,23918,25886,25762,26105
"            Forestry, fishing, and related activities",9694,12147,12746,13108,12322,13354,14032,15002,15916,16839,18119,19368,20037,20986,21975,22714,23808,25004
        Mining,40273,47921,53828,62731,54969,58993,69413,76937,79584,86849,78136,63222,64001,70624,73336,60048,56769,66387
            Oil and gas extraction,14552,17391,19039,23222,21671,23214,26112,29236,30438,33026,32577,28505,24021,24415,25799,23640,20409,22352
"            Mining, except oil and gas",11987,12924,13479,14389,13301,13922,15300,15609,15334,15346,14845,13449,14269,15250,15691,14517,15352,16946
            Support activities for mining,13734,17606,21310,25120,19997,21857,28002,32092,33812,38477,30714,21268,25712,30958,31847,21890,21008,27089
        Utilities,41906,43599,46139,48071,48796,48920,51035,52670,53323,55086,57437,58234,60594,62196,63818,65359,66675,70458
        Construction,321548,354612,369738,364308,306976,284934,289184,304567,322163,349130,380711,407506,437181,469948,501786,502543,537040,588156
        Manufacturing,709671,737077,751037,739942,660541,673333,705856,733463,746133,780477,807105,813957,845859,883614,912020,905519,961566,1034798
            Durable goods,467774,492289,500844,490725,426680,436867,466024,486874,494557,518566,534079,537369,559662,589307,607504,596435,635467,683420
                Wood products,19755,19944,18785,16664,13107,12719,12805,13284,14188,15567,16534,17128,18089,19167,19873,20453,23081,25940
                Nonmetallic mineral products,22598,23704,23819,22240,18488,18079,18292,18944,19624,20842,22212,23136,24182,25179,25853,25586,27253,29500
                Primary metals,24491,25732,25997,26192,20215,21530,24083,25344,25136,26076,25697,24578,25543,27318,27889,25556,27737,31069
                Fabricated metal products,65464,69761,72874,74425,62691,64231,69046,74151,75213,79233,80085,78900,81500,86329,88757,84899,89955,97600
                Machinery,61257,64898,67756,68961,59517,61112,67954,71960,72340,76108,76882,73564,76707,81204,82861,78968,83260,91053
                Computer and electronic products,101708,108017,109759,105999,97964,103613,108640,110137,108480,112463,116099,120828,126799,132636,136972,145558,157289,160976
"                Electrical equipment, appliances, and components",20919,21910,22505,23037,20493,20858,22299,23255,24029,24655,25068,25299,26489,27440,28478,28170,30186,32104
"                Motor vehicles, bodies and trailers, and parts",58449,58990,56468,49174,37438,38558,42115,45315,47499,51924,55922,58093,60225,63974,64912,59156,64460,72130
                Other transportation equipment,44229,48623,51081,53255,51673,51235,54749,56571,58716,60497,61772,61172,62931,66613,70646,68462,67731,73887
                Furniture and related products,19221,19709,19447,18079,14459,13808,13919,14308,14820,15592,16630,17422,18147,18563,18671,18284,19817,21020
                Miscellaneous manufacturing,29683,31001,32351,32698,30633,31125,32122,33605,34510,35608,37177,37248,39051,40884,42592,41343,44697,48141
            Nondurable goods,241897,244788,250193,249217,233861,236466,239832,246588,251576,261910,273026,276589,286196,294307,304516,309084,326099,351379
                Food and beverage and tobacco products,63536,64670,66981,69028,68183,69778,70887,73357,74519,77949,82802,86428,91593,94882,98713,104120,110892,120267
                Textile mills and textile product mills,12753,12171,11660,10775,8932,8982,9106,9164,9348,9736,9977,10013,10263,10380,10327,9726,10407,10910
                Apparel and leather and allied products,9143,8924,8548,8262,6979,6829,6673,6604,6551,6648,6677,6599,6438,6264,6236,5517,5963,6537
                Paper products,25215,25245,25345,25044,23219,23539,23651,23695,23987,24341,24908,24744,25009,25742,26560,26210,26968,28903
                Printing and related support activities,26756,27276,27493,26360,22746,21604,21331,21104,21157,21437,21859,22072,22003,22133,22092,20175,20716,22217
                Petroleum and coal products,9076,9700,10703,10857,10587,10581,11257,11926,11983,12131,12652,12613,12899,13392,13926,13455,12923,14003
                Chemical products,62970,63580,66756,66773,65089,65753,66558,69208,71497,75472,78453,77090,79155,81041,85374,88732,92986,99605
                Plastics and rubber products,32448,33222,32707,32117,28128,29399,30369,31530,32534,34198,35699,37030,38837,40474,41288,41147,45245,48938
        Wholesale trade,324776,349162,371615,376421,349290,354691,373992,393445,401886,420659,438636,441325,457333,465377,481623,483190,525520,578781
            Durable goods,196233,211620,224807,226610,205177,207618,220992,232459,238197,248721,259389,261879,272728,280351,291562,292113,320074,354424
            Nondurable goods,128543,137542,146808,149810,144113,147072,153001,160986,163690,171939,179247,179445,184606,185027,190061,191077,205445,224357
        Retail trade,392783,407212,419751,414425,393500,398765,410896,426510,436712,456001,481775,494573,510544,527397,541892,560021,627926,645963
            Motor vehicle and parts dealers,78091,79874,81028,75812,66915,69604,74350,78895,83004,88481,95183,98379,101167,104149,108554,109612,134786,140622
            Food and beverage stores,59329,60953,63046,65040,64854,65053,65566,67294,68650,71061,74659,76003,78118,79901,82626,91638,93484,98800
            General merchandise stores,58019,60651,63378,64677,65067,65559,67726,69229,69175,71258,73644,76098,77369,79502,79767,82858,90990,93766
            Other retail2,197344,205734,212299,208896,196665,198550,203254,211092,215884,225201,238288,244092,253889,263845,270945,275914,308666,312775
        Transportation and warehousing,183725,193950,205074,207075,192508,195474,207370,219538,226748,242296,259278,267396,283354,306568,328807,334163,375146,418891
            Air transportation,27140,27276,29708,29207,27160,27884,29945,30864,33140,34328,37253,41528,44395,46538,47641,44198,44862,52207
            Rail transportation,13724,14410,14895,15883,14572,14246,15792,17316,16583,18182,18724,16708,16709,17682,17143,15072,14993,15303
            Water transportation,3622,3942,4539,4819,4615,4687,4941,5158,5307,5714,5830,5549,5637,5847,6067,5632,5690,6587
            Truck transportation,56465,59910,61870,60816,53888,54525,58463,62207,64481,69263,72998,73084,76160,82104,85708,85603,94029,104422
            Transit and ground passenger transportation,10426,11188,11836,12343,12365,12592,13341,13934,14321,15438,16351,17156,18310,20667,24761,17918,20523,23318
            Pipeline transportation,3189,3600,4062,4067,4177,4486,4819,5707,5130,5543,5981,6031,6390,6432,6985,7005,6757,7337
            Other transportation and support activities3,46809,49661,52302,53302,49870,50753,52729,55176,57127,60996,65269,67053,71351,77141,85257,91804,107648,116097
            Warehousing and storage,22348,23963,25864,26637,25860,26301,27339,29175,30659,32834,36873,40287,44402,50157,55245,66930,80644,93620
        Information,197610,206774,214385,214079,202191,204181,213789,224263,239054,252967,267097,280738,300015,324744,345469,373829,438061,446839
            Publishing industries (includes software),57716,61449,65829,65679,60791,61092,63925,66457,67464,71970,76338,78838,84915,93743,102020,113703,136427,140842
            Motion picture and sound recording industries,20195,20824,21592,22441,21360,22810,23673,24940,24411,26488,28221,29839,29776,30930,32963,28385,35797,39042
            Broadcasting and telecommunications,85005,87068,95271,93838,88507,86591,88246,89757,90991,93146,91558,93298,93236,93372,94452,95945,96649,99342
            Information and data processing services,34694,37433,31693,32120,31533,33688,37946,43110,56187,61363,70980,78764,92088,106699,116034,135796,169189,167614
        Finance and insurance,448884,490232,526363,517209,465308,485459,513242,536780,545423,582076,611170,625472,668515,693117,727235,787455,859871,886632
"            Federal Reserve banks, credit intermediation, and related activities",165838,176361,178385,168068,157400,159446,168075,180402,187069,189856,201813,211696,224205,232350,248140,276451,303097,296683
"            Securities, commodity contracts, and investments",137876,159104,187708,186748,149572,163383,172432,173589,172449,192911,195976,196221,213125,217121,221941,235883,274754,285567
            Insurance carriers and related activities,143782,153266,159725,161852,157822,162202,172279,182430,185440,198597,212436,216186,229412,241509,254688,272139,278408,299620
"            Funds, trusts, and other financial vehicles",1388,1500,545,541,514,428,456,359,465,712,945,1369,1773,2136,2466,2981,3612,4763
        Real estate and rental and leasing,87310,94652,97515,95686,87575,87986,91952,98228,102377,109197,117212,121098,128934,137672,147731,147529,164033,182938
            Real estate,63697,69303,70944,69538,63936,64686,67340,72034,75731,80631,87773,91455,97589,104222,112340,115930,129991,142999
            Rental and leasing services and lessors of intangible assets4,23612,25349,26571,26148,23639,23300,24611,26194,26646,28566,29440,29642,31345,33450,35391,31599,34042,39938
"        Professional, scientific, and technical services",473722,519710,564951,597551,574265,590957,626317,673165,692331,736696,789823,819167,859626,918853,978182,1030915,1152900,1256207
            Legal services,83377,87796,92799,95573,92521,92698,94712,97722,98829,100591,104391,107693,111731,116193,121539,125524,136091,144582
            Computer systems design and related services,97989,109368,122117,130078,127532,136618,150369,169554,173222,188327,206303,218058,233414,252531,272402,291842,336560,355507
"            Miscellaneous professional, scientific, and technical services5",292355,322547,350035,371901,354212,361641,381236,405889,420280,447779,479129,493417,514480,550129,584241,613548,680249,756118
        Management of companies and enterprises6,153601,164687,182461,184676,173365,186217,201300,221060,231552,246652,260287,262022,278525,293155,307807,310633,336305,367186
        Administrative and waste management services,232975,248462,266271,266691,242361,255153,270615,288129,298334,316298,337936,350946,370322,390310,412275,410546,467920,535591
            Administrative and support services,216993,231538,248672,248328,224578,236240,250957,267873,277828,294685,315034,327412,345016,362933,383199,380865,435884,500211
            Waste management and remediation services,15982,16925,17599,18363,17783,18914,19659,20256,20506,21612,22903,23534,25306,27377,29077,29681,32035,35379
        Educational services,88276,94296,101163,108598,113857,118723,124322,129403,133631,139294,144176,151286,157511,164840,172203,174489,184028,195829
        Health care and social assistance,560686,598865,638214,678733,707988,729881,754988,790675,813770,844772,895709,934352,976233,1023324,1075350,1109619,1189674,1280552
            Ambulatory health care services,249650,266460,284182,301420,314940,329732,343489,360384,372182,388371,412233,431421,452390,476171,502352,513754,563592,601096
            Hospitals,193888,207456,220744,236108,247504,250018,259026,269076,274528,281921,299991,309730,322381,334089,347459,359444,379115,406668
            Nursing and residential care facilities,70026,73976,78465,82780,85270,87717,89860,91421,93777,96994,100785,105044,107411,112538,116597,122259,123479,132565
            Social assistance,47122,50973,54824,58426,60274,62414,62612,69794,73284,77486,82701,88157,94051,100526,108942,114161,123488,140223
"        Arts, entertainment, and recreation",58798,62865,66381,69765,67086,68124,69969,73820,76262,82488,86934,92024,96837,102517,108132,87986,102942,124122
"            Performing arts, spectator sports, museums, and related activities",28703,31840,33845,35751,34761,35414,36379,38364,39506,42843,45452,48333,51176,54769,57812,47040,53664,66250
"            Amusements, gambling, and recreation industries",30095,31025,32536,34014,32325,32710,33589,35457,36756,39645,41481,43691,45661,47748,50321,40946,49278,57872
        Accommodation and food services,188306,200901,212357,217568,209165,214337,226115,241716,254350,271784,292968,313531,331678,350164,370643,294354,373108,439416
            Accommodation,48635,51139,54180,56666,51717,52561,55394,57706,60014,63285,66680,68944,72068,75328,79501,58828,69303,81713
            Food services and drinking places,139671,149763,158177,160902,157447,161776,170720,184010,194336,208499,226288,244587,259610,274836,291142,235526,303805,357704
"        Other services, except government",178109,187905,197492,204328,198647,199163,205459,214706,221271,235137,246656,254086,264496,279074,291965,291115,308065,339754
    Government,991320,1034524,1088544,1143851,1175223,1191174,1194851,1198309,1208006,1236901,1275756,1308029,1348203,1401874,1450651,1494338,1546263,1622470
        Federal,263352,271690,283064,296494,312220,328521,331670,327616,320408,324008,330474,336357,344100,357261,365506,381838,392972,404423
            General government,221016,228334,239348,253606,271060,288321,291854,288392,282024,285552,289610,296611,304004,315927,324408,339488,349214,359122
                Civilian,130164,134002,140900,148174,159448,174777,178238,176303,172209,177576,183218,188781,195075,202535,207150,218070,223906,231364
                Military7,90852,94332,98448,105432,111612,113544,113616,112089,109816,107976,106392,107830,108929,113392,117258,121418,125308,127758
            Government enterprises,42336,43356,43716,42888,41160,40200,39816,39224,38384,38456,40864,39746,40096,41334,41098,42351,43758,45301
